time,x,y,z,degree,deltax,deltay,deltaz,resultant,moving,Turning
2.96784E+14,0.6006012,9.537796,4.553543,-235.91985,0.9906311,-1.083954,-0.1340026,1.474538215,1,Left
2.96784E+14,1.5912323,8.453842,4.4195404,-236.20096,0.0574188,0.071793,-0.9547272,0.95914294,1,Left
2.96785E+14,1.6486511,8.525635,3.4648132,-236.0944,-2.09849546,0.660415,0.1914215,2.208273841,1,Left
2.96785E+14,-0.44984436,9.18605,3.6562347,-236.81972,0.471374511,0.299103,-0.0191497,0.558590409,1,Left
2.96785E+14,0.021530151,9.485153,3.637085,-237.65912,2.076980549,-1.258621,1.1772766,2.698880363,1,Left
2.96785E+14,2.0985107,8.226532,4.8143616,-238.55708,-0.1459655,0.332596,-0.4402771,0.570762605,1,Left
2.96785E+14,1.9525452,8.559128,4.3740845,-237.82248,-1.68215946,0.531204,-0.5096741,1.836193298,1,Left
2.96785E+14,0.27038574,9.090332,3.8644104,-237.56337,-0.44744873,0.124435,-0.3517456,0.582597118,1,Left
2.96785E+14,-0.17706299,9.214767,3.5126648,-238.09799,0.94755554,-0.050262,0.1363831,0.958638681,1,Left
2.96785E+14,0.77049255,9.164505,3.6490479,-238.98444,0.58863835,-0.485733,1.0193481,1.273382191,1,Left
2.96785E+14,1.3591309,8.678772,4.668396,-239.56496,-0.4546509,0.313461,-0.4043884,0.684467105,1,Left
2.96785E+14,0.90448,8.992233,4.2640076,-239.09229,-0.54556276,0.105286,-0.526413,0.765398271,1,Left
2.96785E+14,0.35891724,9.097519,3.7375946,-239.12625,-0.0167389,0.035889,-0.069397,0.079900906,0,Left
2.96785E+14,0.34217834,9.133408,3.6681976,-239.64122,0.54556276,-0.155533,0.423523,0.707955486,1,Left
2.96785E+14,0.8877411,8.977875,4.0917206,-240.23512,0.3158417,-0.40918,0.3230438,0.609542081,1,Left
2.96785E+14,1.2035828,8.568695,4.4147644,-240.32343,-0.5838471,0.57428,-0.6293182,1.032819612,1,Left
2.96785E+14,0.6197357,9.142975,3.7854462,-239.95786,-0.44984434,0.093323,0.1603241,0.486593187,1,Left
2.96785E+14,0.16989136,9.236298,3.9457703,-240.3889,0.55273437,-0.437882,0.1818542,0.728235456,1,Left
2.96785E+14,0.72262573,8.798416,4.1276245,-240.82631,0.42593387,0.12442,-0.1005095,0.454974898,1,Left
2.96785E+14,1.1485596,8.922836,4.027115,-240.82576,-0.39961246,-0.08136,0.39003,0.564298652,1,Left
2.96785E+14,0.74894714,8.841476,4.417145,-240.83511,-0.45941162,0.40918,-0.3182375,0.69264884,1,Left
2.96785E+14,0.28953552,9.250656,4.0989075,-240.63585,0.42831421,-0.234497,-0.0550385,0.491397133,1,Left
2.96785E+14,0.71784973,9.016159,4.043869,-240.92973,0.63888547,-0.284744,0.1674957,0.719241683,1,Left
2.96785E+14,1.3567352,8.731415,4.2113647,-241.11125,-0.5025024,0.160309,0.1555329,0.549907374,1,Left
2.96785E+14,0.8542328,8.891724,4.3668976,-240.85037,-0.53598024,0.320648,-0.378067,0.730085347,1,Left
2.96785E+14,0.31825256,9.212372,3.9888306,-240.67842,0.38284304,-0.2392885,-0.1746674,0.484083133,1,Left
2.96785E+14,0.7010956,8.9730835,3.8141632,-241.03075,0.5670929,-0.2608185,0.3900298,0.736032535,1,Left
2.96785E+14,1.2681885,8.712265,4.204193,-241.30615,-0.3421631,0.172287,0.0502473,0.386371827,0,Left
2.96785E+14,0.9260254,8.884552,4.2544403,-241.04703,-0.50727845,0.1866455,-0.4019928,0.673621689,1,Left
2.96785E+14,0.41874695,9.0711975,3.8524475,-240.91873,0.03109741,0.0693815,-0.1842499,0.199321015,0,Left
2.96785E+14,0.44984436,9.140579,3.6681976,-241.27957,0.84466554,-0.509674,0.447464,1.08325966,1,Left
2.96785E+14,1.2945099,8.630905,4.1156616,-241.77126,-0.3995972,0.136398,0.1292114,0.441563045,1,Left
2.96785E+14,0.8949127,8.767303,4.244873,-241.50346,-0.921234111,0.619736,-0.373291,1.171362953,1,Left
2.96785E+14,-0.026321411,9.387039,3.871582,-241.14194,0.605377211,-0.4139555,0.0382843,0.734374844,1,Left
2.96785E+14,0.5790558,8.9730835,3.9098663,-241.7122,0.9020996,-0.3182375,0.3996125,1.036700991,1,Left
2.96785E+14,1.4811554,8.654846,4.3094788,-241.91142,-0.82073975,0.437882,0.2584228,0.965472282,1,Left
