time,x,y,z,degree,deltax,deltay,deltaz,resultant,moving,Turning
2.96783E+14,-0.36610413,8.750549,4.8382874,-223.742,0.067001,0.256027,-0.512070,0.576415,0, 
2.96783E+14,-0.32302856,8.446671,5.0201416,-223.95937,0.043076,-0.303879,0.181854,0.356748,0, 
2.96783E+14,-0.026321411,8.635696,4.857437,-223.96747,0.296707,0.189026,-0.162704,0.387606,0, 
2.96783E+14,0.028717041,8.133209,5.132599,-225.09781,0.055038,-0.502487,0.275162,0.575532,0, 
2.96783E+14,-0.19621277,8.650055,4.5679016,-225.00223,-0.224930,0.516846,-0.564697,0.797876,0, 
2.96783E+14,-0.447464,8.525635,4.7114716,-225.37097,-0.251251,-0.124420,0.143570,0.314992,0, 
2.96783E+14,-0.12921143,8.377274,4.8550415,-225.53398,0.318253,-0.148361,0.143570,0.379352,0, 
2.96783E+14,-0.112457275,8.551941,4.874176,-225.62738,0.016754,0.174667,0.019135,0.176509,0, 
2.96783E+14,-0.37088013,8.599808,5.1230316,-225.77122,-0.258423,0.047867,0.248856,0.361943,0, 
2.96783E+14,-0.4402771,8.676376,4.6205444,-225.71472,-0.069397,0.076569,-0.502487,0.513003,0, 
2.96783E+14,0.052642822,8.6237335,4.8885345,-225.97491,0.492920,-0.052643,0.267990,0.563525,0, 
2.96783E+14,-0.107681274,8.355743,5.3407745,-226.15771,-0.160324,-0.267990,0.452240,0.549585,0, 
2.96783E+14,-0.20817566,8.843872,4.6731873,-225.92229,-0.100494,0.488129,-0.667587,0.833091,0, 
2.96783E+14,-0.117248535,8.496918,4.598999,-226.7016,0.090927,-0.346954,-0.074188,0.366264,0, 
2.96783E+14,-0.007171631,8.597412,4.8885345,-226.96095,0.110077,0.100494,0.289536,0.325648,0, 
2.96783E+14,0.124420166,8.676376,4.965103,-227.08879,0.131592,0.078964,0.076569,0.171507,0, 
2.96783E+14,-0.014358521,8.492126,4.8670044,-227.21724,-0.138779,-0.184250,-0.098099,0.250661,0, 
2.96783E+14,0.007171631,8.611771,4.553543,-227.3026,0.021530,0.119644,-0.313461,0.336209,0, 
2.96783E+14,0.00479126,8.578262,4.7569275,-227.62602,-0.002380,-0.033508,0.203384,0.206140,0, 
2.96783E+14,-0.08375549,8.566299,4.922043,-227.79347,-0.088547,-0.011963,0.165115,0.187741,0, 
2.96783E+14,0.050247192,8.537598,4.692322,-227.82729,0.134003,-0.028702,-0.229721,0.267493,0, 
2.96783E+14,0.13400269,8.614166,4.474579,-228.0175,0.083755,0.076569,-0.217743,0.245540,0, 
2.96783E+14,-0.011962891,8.616562,4.9627075,-228.3785,-0.145966,0.002396,0.488129,0.509491,0, 
2.96783E+14,-0.055038452,8.587845,4.9627075,-228.66484,-0.043076,-0.028717,-0.000000,0.051770,0, 
2.96783E+14,0.13400269,8.645264,4.409973,-228.65378,0.189041,0.057419,-0.552734,0.586983,0, 
2.96783E+14,0.16749573,8.633301,4.689926,-229.0506,0.033493,-0.011963,0.279953,0.282203,0, 
2.96783E+14,-0.0765686,8.5902405,5.2666016,-229.24687,-0.244064,-0.043060,0.576675,0.627675,0, 
2.96783E+14,-0.06700134,8.688339,4.675583,-229.0063,0.009567,0.098099,-0.591019,0.599181,0, 
2.96783E+14,0.114852905,8.685944,4.1491547,-229.19676,0.181854,-0.002396,-0.526428,0.556959,0, 
2.96783E+14,0.117248535,8.630905,4.8047943,-229.7481,0.002396,-0.055038,0.655640,0.657950,0, 
2.96783E+14,0.014358521,8.5902405,5.2211456,-229.82292,-0.102890,-0.040665,0.416351,0.430800,0, 
2.96784E+14,-0.01914978,8.647659,4.3980103,-229.592,-0.033508,0.057419,-0.823135,0.825816,0, 
2.96784E+14,0.114852905,8.666809,4.0414734,-229.92732,0.134003,0.019150,-0.356537,0.381369,0, 
2.96784E+14,0.15074158,8.616562,4.840683,-230.75963,0.035889,-0.050247,0.799210,0.801591,0, 
2.96784E+14,0.16749573,8.640488,5.166107,-230.76729,0.016754,0.023926,0.325424,0.326732,0, 
2.96784E+14,0.08135986,8.609375,4.587036,-230.56714,-0.086136,-0.031113,-0.579071,0.586268,0, 
2.96784E+14,-0.055038452,8.709869,4.23291,-230.74193,-0.136398,0.100494,-0.354126,0.392567,0, 
2.96784E+14,-0.0382843,8.714661,4.749756,-231.17021,0.016754,0.004791,0.516846,0.517139,0, 
2.96784E+14,0.14596558,8.673981,4.9292145,-231.23273,0.184250,-0.040680,0.179459,0.260400,0, 
2.96784E+14,0.2416687,8.645264,4.5726776,-231.17448,0.095703,-0.028717,-0.356537,0.370273,0, 
2.96784E+14,0.06460571,8.669189,4.5104675,-231.3587,-0.177063,0.023926,-0.062210,0.189193,0, 
2.96784E+14,-0.009567261,8.702698,4.737793,-231.56711,-0.074173,0.033508,0.227325,0.241457,0, 
2.96784E+14,0.17228699,8.6237335,4.7162476,-231.6161,0.181854,-0.078964,-0.021545,0.199425,0, 
2.96784E+14,0.17945862,8.647659,4.4865417,-231.76712,0.007172,0.023926,-0.229706,0.231060,0, 
2.96784E+14,0.0765686,8.685944,4.536789,-231.97974,-0.102890,0.038284,0.050247,0.120735,0, 
2.96784E+14,0.13877869,8.662018,4.697113,-232.15303,0.062210,-0.023926,0.160324,0.173627,0, 
2.96784E+14,0.23928833,8.659622,4.680359,-232.20273,0.100510,-0.002396,-0.016754,0.101925,0, 
2.96784E+14,0.1483612,8.6931305,4.6492615,-232.26775,-0.090927,0.033508,-0.031097,0.101772,0, 
2.96784E+14,0.021530151,8.721832,4.6420746,-232.35616,-0.126831,0.028702,-0.007187,0.130237,0, 
2.96784E+14,0.06460571,8.707489,4.656433,-232.44695,0.043076,-0.014343,0.014359,0.047617,0, 
2.96784E+14,0.20100403,8.669189,4.6420746,-232.52092,0.136398,-0.038300,-0.014359,0.142399,0, 
